ЕО	Единица транспортировки
#Н/Д	712$000390
#Н/Д	712$000400
#Н/Д	712$000410
#Н/Д	712$000420
#Н/Д	712$000430
#Н/Д	712$000440
#Н/Д	712$000450
#Н/Д	712$000460
#Н/Д	712$000470
#Н/Д	712$000480
#Н/Д	712$000490
#Н/Д	712$000500
#Н/Д	712$000510
#Н/Д	712$000520
#Н/Д	712$000530
#Н/Д	712$000540
#Н/Д	712$000550
#Н/Д	712$000560
#Н/Д	712$000570
#Н/Д	712$000580
#Н/Д	712$000590
#Н/Д	712$000600
#Н/Д	712$000610
#Н/Д	712$000620
#Н/Д	712$000630
#Н/Д	712$000640
#Н/Д	712$000650
#Н/Д	712$000660
#Н/Д	712$000670
#Н/Д	712$000680
#Н/Д	712$000690
#Н/Д	712$000700
#Н/Д	712$000710
#Н/Д	712$000720
#Н/Д	712$000730
#Н/Д	712$000740
#Н/Д	712$000750
#Н/Д	712$000760
#Н/Д	712$000770
#Н/Д	712$000780
#Н/Д	712$000790
#Н/Д	712$000800
#Н/Д	712$000810
#Н/Д	712$000820
#Н/Д	712$000830
#Н/Д	712$000840
#Н/Д	712$000850
#Н/Д	712$000860
#Н/Д	712$000870
#Н/Д	712$000880
#Н/Д	712$000890
#Н/Д	712$000900
#Н/Д	712$000910
#Н/Д	712$000920
#Н/Д	712$000930
#Н/Д	712$000940
#Н/Д	712$000950
100193685	712$000960
100193686	712$000970
100193687	712$000980
100193688	712$000990
100193689	712$001000
100193690	712$001010
100193684	712$001020
100193694	712$001030
100193695	712$001040
100193698	712$001050
100193699	712$001060
100193704	712$001070
100193705	712$001080
100193692	712$001090
100193693	712$001100
100193683	712$001110
100193691	712$001120
100193697	712$001130
100193696	712$001140
100193700	712$001150
100193701	712$001160
100193702	712$001170
100193703	712$001180
100193707	712$001190
100193708	712$001200
100193709	712$001210
100193710	712$001220
100193711	712$001230
100193713	712$001240
100193706	712$001250
100193712	712$001260
100193714	712$001270
100193715	712$001280
100193716	712$001290
100193717	712$001300
100193718	712$001310
100193719	712$001320
100193720	712$001330
100193721	712$001340
100193724	712$001350
100193722	712$001360
100193723	712$001370
100193726	712$001380
100193652	712$001390
100193646	712$001400
100193725	712$001410
100193732	712$001420
100193729	712$001430
100193730	712$001440
100193656	712$001450
100193731	712$001460
100193728	712$001470
100193727	712$001480
100193666	712$001510
100193733	712$001520
100193665	712$001530
100193737	712$001540
100193663	712$001550
100193736	712$001560
100193734	712$001570
100193735	712$001580
100193637	712$001590
100193669	712$001600
100193654	712$001610
100193667	712$001620
100193670	712$001630
100193660	712$001640
100193650	712$001650
100193763	712$001660
100193758	712$001670
100193760	712$001680
100193757	712$001690
100193739	712$001700
100193743	712$001710
100193753	712$001720
100193751	712$001730
100193741	712$001740
100193742	712$001750
100193759	712$001760
100193740	712$001770
100193746	712$001780
100193640	712$001800
#Н/Д	712$001810
100193639	712$001820
100193762	712$001830
100193761	712$001840
100193764	712$001850
100193638	712$001860
100193752	712$001870
100193750	712$001880
100193755	712$001890
100193745	712$001900
100193756	712$001910
100193748	712$001920
100193747	712$001930
100193749	712$001940
#Н/Д	713$000010
#Н/Д	713$000020
#Н/Д	713$000030
#Н/Д	713$000040
#Н/Д	713$000050
